0.36,0.000003917,,,,,,,,,,,,,,,,,,,,,,,
0.361,0.000004393581,,,,,,,,,,,,,,,,,,,,,,,
0.362,0.000004929604,,,,,,,,,,,,,,,,,,,,,,,
0.363,0.000005532136,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9
0.364,0.000006208245,,,,,,,,,,,,,0.36,,,,,,,,,,
0.365,0.000006965,,,,,,,,,,,,,0.37,,,,,,,,,,
0.366,0.000007813219,,,,,,,,,,,,,0.38,,,,,,,,,,
0.367,0.000008767336,,,,,,,,,,,,,0.39,,,,,,,,,,
0.368,0.000009839844,,,,,,,,,,,,,0.4,,,,,,,,,,
0.369,0.00001104323,,,,,,,,,,,,,0.41,,,,,,,,,,
0.37,0.00001239,,,,,,,,,,,,,0.42,,,,,,,,,,
0.371,0.00001388641,,,,,,,,,,,,,0.43,,,,,,,,,,
0.372,0.00001555728,,,,,,,,,,,,,0.44,,,,,,,,,,
0.373,0.00001744296,,,,,,,,,,,,,0.45,,,,,,,,,,
0.374,0.00001958375,,,,,,,,,,,,,0.46,,,,,,,,,,
0.375,0.00002202,,,,,,,,,,,,,0.47,,,,,,,,,,
0.376,0.00002483965,,,,,,,,,,,,,0.48,,,,,,,,,,
0.377,0.00002804126,,,,,,,,,,,,,0.49,,,,,,,,,,
0.378,0.00003153104,,,,,,,,,,,,,0.5,,,,,,,,,,
0.379,0.00003521521,,,,,,,,,,,,,0.51,,,,,,,,,,
0.38,0.000039,,,,,,,,,,,,,0.52,,,,,,,,,,
0.381,0.0000428264,,,,,,,,,,,,,0.53,,,,,,,,,,
0.382,0.0000469146,,,,,,,,,,,,,0.54,,,,,,,,,,
0.383,0.0000515896,,,,,,,,,,,,,0.55,,,,,,,,,,
0.384,0.0000571764,,,,,,,,,,,,,0.56,,,,,,,,,,
0.385,0.000064,,,,,,,,,,,,,0.57,,,,,,,,,,
0.386,0.00007234421,,,,,,,,,,,,,0.58,,,,,,,,,,
0.387,0.00008221224,,,,,,,,,,,,,0.59,,,,,,,,,,
0.388,0.00009350816,,,,,,,,,,,,,,,,,,,,,,,
0.389,0.0001061361,,,,,,,,,,,,,,,,,,,,,,,
0.39,0.00012,,,,,,,,,,,,,,,,,,,,,,,
0.391,0.000134984,,,,,,,,,,,,,,,,,,,,,,,
0.392,0.000151492,,,,,,,,,,,,,,,,,,,,,,,
0.393,0.000170208,,,,,,,,,,,,,,,,,,,,,,,
0.394,0.000191816,,,,,,,,,,,,,,,,,,,,,,,
0.395,0.000217,,,,,,,,,,,,,,,,,,,,,,,
0.396,0.0002469067,,,,,,,,,,,,,,,,,,,,,,,
0.397,0.00028124,,,,,,,,,,,,,,,,,,,,,,,
0.398,0.00031852,,,,,,,,,,,,,,,,,,,,,,,
0.399,0.0003572667,,,,,,,,,,,,,,,,,,,,,,,
0.4,0.000396,,,,,,,,,,,,,,,,,,,,,,,
0.401,0.0004337147,,,,,,,,,,,,,,,,,,,,,,,
0.402,0.000473024,,,,,,,,,,,,,,,,,,,,,,,
